บ้านอะอึ๋ม A-AUM a-aum
บ้านแอ๊บ ABnormal abnormal
บ้านเอช้วน Achuan achuan
บ้านอากาเป้ AGAPE agape
บ้านบูชายัญ Buchayun buchayun
บ้านบึ้ม Buem buem
บ้านดอก Dork dork
บ้านดุ๊ยดุ่ย Duidui duidui
บ้านดัง Dung dung
บ้านเฟี้ยว Fyo fyo
บ้านอินเดียน่า INDIANA indiana
บ้านอินดี้ Indy indy
บ้านจัดสัน Jadson jadson
บ้านโจ๋ Jo+ jo
บ้านโจ๊ะเด๊ะ Jodeh Huesa
บ้านคุณหนู Khunnoo khunnoo
บ้านคิดส์ Kids kids
บ้านโคะ KOH koh
บ้านคุ้ม KOOM koom
บ้านหลายใจ LaiJai laijai
บ้านหมีน้อย Mheenoi mheenoi
บ้านไหน Nhai nhai
บ้านพักตากอากาศ Pak-Tak-Agard pak-tak-agard
บ้านผี Phee phee
บ้านพ่อ Por por
บ้านเปรี้ยว Preaw preaw
บ้านแรง Rang rang
บ้านหรอย Rhoy rhoy
บ้านเสี่ยว Seiyw seiyw
บ้านสด Sod sod
บ้านโซ้ยตี๋หลีหมวย SoeiteeLheemouy soeitee
บ้านเต็ม TEM tem
บ้านหวัง Wang wang
บ้านว้อนท์ Wanted wanted
บ้านเวิร์ค Work work
บ้านยิ้ม Yim yim
